Moisture,Humidity,Temperature,Motor
91,68,31.2,0
89,69,31.2,0
88,69,31.3,0
88,68,31.3,0
87,68,31.3,0
86,68,31.3,0
85,69,31.3,0
85,69,31.3,0
86,68,31.3,0
87,68,31.3,0
86,69,31.3,0
86,68,31.3,0
86,68,31.3,0
86,68,31.3,0
0,68,31.2,1
100,68,31.3,0
100,68,31.3,0
100,67,31.2,0
100,67,31.2,0
100,68,31.3,0
86,67,31.2,0
85,68,31.2,0
85,68,31.2,0
85,67,31.3,0
85,68,31.2,0
86,67,31.2,0
86,68,31.2,0
87,68,31.2,0
87,68,31.2,0
88,68,31.2,0
88,67,31.2,0
89,67,31.2,0
89,67,31.3,0
90,67,31.2,0
90,68,31.2,0
91,68,31.2,0
91,68,31.2,0
91,68,31.2,0
92,67,31.2,0
92,68,31.1,0
92,68,31.2,0
92,68,31.2,0
93,68,31.2,0
94,68,31.2,0
94,68,31.1,0
94,67,31.1,0
94,68,31.1,0
94,68,31.1,0
95,68,31.1,0
95,67,31.1,0
96,67,31.1,0
96,69,31.1,0
96,68,31.1,0
96,67,31.1,0
96,67,31.1,0
100,68,31,0
0,67,31,1
92,67,31,0
91,68,31,0
91,68,31,0
88,68,31,0
7,68,31,1
4,68,31,1
2,69,31,1
1,69,30.9,1
0,68,30.9,1
6,70,30.2,1
1,70,30.2,1
1,70,30.2,1
0,70,30.3,1
0,70,30.4,1
100,70,30.5,0
100,70,30.5,0
100,69,30.6,0
100,69,30.6,0
100,69,30.6,0
100,70,30.6,0
99,70,30.7,0
76,70,30.6,0
72,70,30.6,0
71,76,31.5,0
70,72,31.7,0
95,73,30.2,0
65,72,30.3,0
62,72,30.3,0
61,73,30.4,0
0,73,30.4,1
100,73,30.4,0
100,72,30.4,0
100,73,30.4,0
100,73,30.4,0
100,73,30.4,0
100,72,30.5,0
100,72,30.5,0
100,72,30.5,0
100,72,30.5,0
100,72,30.5,0
100,72,30.5,0
100,73,30.4,0
100,73,30.4,0
100,73,30.4,0
100,72,30.4,0
100,73,30.5,0
71,73,30.5,0
65,73,30.5,0
64,73,30.5,0
63,72,30.5,0
62,73,30.5,0
62,73,30.5,0
61,73,30.5,0
63,73,30.5,0
62,72,30.5,0
61,73,30.6,0
61,72,30.6,0
61,71,30.6,0
62,71,30.6,0
62,72,30.6,0
61,71,30.6,0
61,72,30.6,0
62,72,30.6,0
61,72,30.6,0
62,71,30.6,0
63,72,30.6,0
63,72,30.6,0
63,73,30.9,0
63,71,30.9,0
62,71,30.9,0
62,70,30.9,0
62,70,30.9,0
62,71,30.8,0
62,71,30.8,0
62,71,30.8,0
0,64,27.8,1
94,63,27.8,0
93,64,27.8,0
0,63,27.8,1
82,63,27.8,0
83,64,27.8,0
0,64,27.8,1
0,64,27.8,1
80,63,27.9,0
0,63,27.9,1
81,63,27.9,0
0,63,28,1
0,63,28,1
0,63,28,1
0,63,28,1
0,63,28.1,1
0,63,28,1
0,63,28,1
0,63,28.1,1
0,63,28.1,1
0,63,28.1,1
0,62,28.1,1
0,63,28.1,1
0,63,28,1
0,63,28,1
0,63,28,1
0,63,28,1
0,63,28,1
0,63,28,1
83,72,30.5,0
84,72,30.5,0
83,73,30.5,0
84,72,30.5,0
84,72,30.4,0
86,72,30.4,0
86,72,30.4,0
87,72,30.4,0
88,72,30.3,0
88,72,30.3,0
89,73,30.3,0
97,73,30.2,0
97,73,30.2,0
98,72,30.2,0
98,73,30.2,0
99,73,30.2,0
99,73,30.2,0
99,72,30.2,0
100,72,30.2,0
100,73,30.2,0
100,73,30.2,0
0,73,30.2,1
79,73,30.2,0
80,73,30.2,0
81,73,30.2,0
82,73,30.2,0
83,72,30.2,0
84,72,30.2,0
86,73,30.2,0
86,72,30.2,0
87,73,30.2,0
88,72,30.2,0
89,72,30.1,0
89,72,30.1,0
89,72,30.1,0
90,73,30.1,0
90,72,30.2,0
91,73,30.1,0
91,72,30.2,0
92,72,30.2,0
92,73,30.1,0
92,73,30.2,0
93,72,30.1,0
93,73,30.1,0
93,73,30.1,0
94,73,30.1,0
94,73,30.1,0
95,73,30.1,0
95,73,30.1,0
95,74,30.1,0
95,74,30.1,0
97,73,30.1,0
95,73,30.1,0
95,73,30.1,0
96,74,30.1,0
96,74,30.1,0
96,73,30.1,0
96,73,30.1,0
96,73,30.1,0
97,73,30.1,0
97,74,30.1,0
97,74,30.1,0
97,73,30.1,0
97,73,30,0
97,74,30,0
